data,date,time,alertDate,category,category_desc,matrix_id,rid
כרמיאל,03.11.2021,10:08:00,2021-11-03T10:08:00,1,ירי רקטות וטילים,1,14289
כרמיאל,11.10.2023,18:21:34,2023-10-11T18:22:00,2,חדירת כלי טיס עוין,6,21588
כרמיאל,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27338
כרמיאל,23.09.2024,18:56:42,2024-09-23T18:57:00,1,ירי רקטות וטילים,1,37257
כרמיאל,27.09.2024,22:21:30,2024-09-27T22:22:00,1,ירי רקטות וטילים,1,38167
כרמיאל,27.09.2024,22:22:10,2024-09-27T22:22:00,1,ירי רקטות וטילים,1,38178
כרמיאל,28.09.2024,07:59:24,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38266
כרמיאל,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38306
כרמיאל,28.09.2024,09:36:09,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38608
כרמיאל,28.09.2024,10:42:53,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38737
כרמיאל,03.10.2024,16:30:37,2024-10-03T16:31:00,1,ירי רקטות וטילים,1,41796
כרמיאל,03.10.2024,16:32:01,2024-10-03T16:32:00,1,ירי רקטות וטילים,1,41805
כרמיאל,04.10.2024,14:24:05,2024-10-04T14:24:00,1,ירי רקטות וטילים,1,42030
כרמיאל,04.10.2024,14:24:46,2024-10-04T14:25:00,1,ירי רקטות וטילים,1,42040
כרמיאל,05.10.2024,14:09:28,2024-10-05T14:09:00,1,ירי רקטות וטילים,1,42175
כרמיאל,05.10.2024,14:10:11,2024-10-05T14:10:00,1,ירי רקטות וטילים,1,42197
כרמיאל,05.10.2024,16:45:26,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42239
כרמיאל,06.10.2024,21:47:29,2024-10-06T21:47:00,1,ירי רקטות וטילים,1,42398
כרמיאל,06.10.2024,21:48:10,2024-10-06T21:48:00,1,ירי רקטות וטילים,1,42408
כרמיאל,06.10.2024,21:49:07,2024-10-06T21:49:00,1,ירי רקטות וטילים,1,42420
כרמיאל,07.10.2024,06:53:02,2024-10-07T06:53:00,1,ירי רקטות וטילים,1,42491
כרמיאל,07.10.2024,12:40:54,2024-10-07T12:41:00,1,ירי רקטות וטילים,1,42572
